"cell_line","IC50","AAC","ENSG00000198793","ENSG00000138685","ENSG00000088832"
"LXF-289",5.37853072434664,0.0869075029174417,4.64474573280563,6.84605187641249,4.34003471582726
"M059J",2595.63644115354,0.0466482685061906,4.92870006565947,6.38071954177954,4.7055596286538
"M14",0.14669870953023,0.540214685494382,5.30042260936136,3.54102104377264,3.96589498165339
"MDA-MB-415",1307.65160342275,0.109232082759037,4.65512986272868,3.22770629946171,3.51443297693299
"MDA-MB-436",2.87933897268659,0.0957194712640342,5.5847057255335,8.80710924982378,3.89539943020805
"MDA-MB-468",3.95703307451441,0.207901455079413,4.53630250790463,3.41518659387741,4.90193785415327
"MDST8",1.02223488841326,0.372973557280458,4.49015377494319,3.57024385543102,4.33808523440948
"ME-180",7.02698122619657,0.310729602502401,4.56923279766884,3.45222598582017,3.45807077448726
"MEG-01",7.87168949856076,0.119853143061431,5.09916584439186,3.43416725655156,3.31919196427175
"MES-SA",0.00648079339697214,0.916136510793668,4.94465663894377,7.53837731914339,4.50586739344208
"MFE-280",20434.991248274,0.0707211586705568,5.13489107836054,3.45812176502483,4.05271811188459
"MFE-296",112.566853942229,0.150023265003674,4.98287891372679,6.5453774886035,3.73233642740205
"MFM-223",5.09746782484138,0.259427517281299,4.66933999386032,3.07286869595013,3.37623903204706
"MG-63",251295.27698707,0.0714349118374421,4.52881179499306,6.03952416909691,3.55467920213322
"MHH-PREB-1",5394.77375919338,0.478261374285183,4.97843704565182,3.24688924730267,3.72510794199281
"MIA-PaCa-2",2.4629184022103,0.190613856876966,4.83251900652557,4.98938803564754,4.05647684147465
"MKN1",0.0185840148542873,0.226743021402495,5.0812728485436,3.07582476415717,3.59006450120045
"MKN45",1.52735880268678,0.291830285715205,5.28987292972606,3.53507240136391,3.76372723295426
"MLMA",6.51980577412528,0.0767336746261985,4.83409856157047,3.14463124505741,2.69495981612643
"MN-60",26.0864627715416,0.139598849899562,5.25942991226486,3.47903142975963,5.55663310605064
"MOG-G-CCM",2.31338248841146,0.222336695603578,5.28815251426554,6.72776903992925,3.37861929254528
"MOG-G-UVW",0.00277179688366818,0.427276515617985,5.28032418343344,3.21345204099479,4.42756060634523
"MOLM-13",0.261081192745103,0.210529002158011,4.4214551711829,3.47589082950395,4.47993944458143
"MOLT-16",4.15901268186315,0.375397614872721,5.33909167356505,3.03485174210273,3.4221539026025
"MOLT-4",5.73418388879791,0.0813602216859742,5.1013391251356,3.27487941767135,4.54880184600448
"MRK-nu-1",5.61605284701147,0.00283326559633216,5.27831824736778,3.32314016614851,4.35049472219011
"MS751",0.0157339669032803,0.538393252184499,5.79597643098205,3.49124062478529,3.16007459342249
"MSTO-211H",0.483540369557463,0.190382612862806,4.57305047465612,8.93850433849982,4.68017998498231
"NALM-6",1.97383360273811,0.181875219180914,5.26044862354066,3.32487203783815,3.13530568764927
"NCI-H1355",7.25872573432274,0.18877673791689,5.37706502130494,6.98909708446953,3.29613972164168
"NCI-H1417",188.472023034208,0.0754750521562711,4.6611668392609,3.59487897319602,4.81075825774919
"NCI-H1568",5.62720360310262,0.414790716382102,4.66495012181352,3.18066212536701,3.29295551277301
"NCI-H1581",48.2236503124972,0.0261288199135154,5.6013063588467,3.58456546554414,5.26347828551188
"NCI-H1651",0.208832901848464,0.395867496869478,4.53430752843231,4.96756630125759,3.77693661338268
"NCI-H1792",4459.08566312874,0.149472503033552,4.52867981053465,5.81106896277741,3.74840260725847
"NCI-H1944",6.38354079640845,0.22411108216338,4.17303400922752,7.22792892760023,3.47177600582109
"NCI-H1963",0.00815527358741725,0.912631341278154,4.97176913815387,4.23290342058446,3.92988075771495
"NCI-H2029",2.859587719918,0.0982878555874176,5.16900336849266,3.22366452632843,3.36923985857554
"NCI-H2085",2.80416496528006,0.0453983002079182,4.83458764056875,3.24642405570734,3.8570002882411
"NCI-H209",3.39347947723691,0.302204736709872,4.49314577031655,3.30223332544128,3.82464033601064
"NCI-H2170",2.80586416826122,0.236961368664911,4.96217853424093,3.40384412918999,5.91634987449848
"NCI-H23",10.068000348472,0.124611096331102,5.44095518706808,3.75980492544916,3.90138976025262
